id	paper_id	author_id
0	1183	2506
1	1183	2507
2	1183	2508
3	1269	2764
4	2110	3931
5	2642	4719
6	2642	4720
7	2642	4721
8	4642	8123
9	5211	9039
10	5211	9040
11	5211	9041
12	5553	9520
13	5553	9521
14	5756	9843
15	5783	9876
16	5783	9877
17	5809	9921
18	5809	9922
19	5809	9923
20	5809	9924
21	5809	9925
22	6058	10307
23	6095	10360
24	6095	10361
25	6095	10362
26	6242	10619
27	6433	10915
28	6713	11359
29	6713	11360
30	6713	11361
31	6715	11365
32	8198	14520
33	8202	14524
34	8361	14760
35	8456	14896
36	8574	15060
37	8574	10962
38	8574	15061
39	8574	15062
40	8574	15063
41	9078	15923
42	9647	16838
43	9647	16839
44	9647	16840
45	9690	16902
46	9690	16903
47	9732	16980
48	9738	16988
49	9738	16989
50	9738	16990
51	10366	17951
52	10366	17952
53	10366	17953
54	10366	17954
55	10426	18050
56	10426	18051
57	10674	18413
58	10674	18414
59	11211	19135
60	11211	19136
61	11211	19137
62	11339	19318
63	11339	19319
64	11398	19414
65	11752	19912
66	11765	19929
67	11765	19930
68	11765	19931
69	12419	20880
70	12602	21154
71	12605	21155
72	12605	16225
73	12618	21179
74	12618	10108
75	12750	21384
76	12865	21556
77	13033	21818
78	13033	21819
79	13637	22706
80	13637	22705
81	13637	20009
82	13693	11456
83	13693	22759
84	13693	11455
85	13869	22943
86	13939	23056
87	14237	23476
88	14398	23695
89	14398	23696
90	14513	12234
91	14513	23355
92	14513	23356
93	15034	24575
94	15034	24576
95	15034	24577
96	15034	24578
97	15034	24579
98	15034	24580
99	15195	24779
100	15195	20900
101	15195	20901
102	15337	24988
103	15337	24989
104	15487	25209
105	15487	25210
106	15487	25211
107	15628	25414
108	15628	25415
109	15628	25416
110	15628	25417
111	15628	25418
112	15628	25419
113	15887	25782
114	15887	25783
115	15887	25784
116	15992	25929
117	16039	25999
118	16039	26000
119	16295	26372
120	16295	26373
121	16295	26374
122	16295	26375
123	16621	9000
124	16621	9509
125	16621	9002
126	16621	26811
127	16666	4877
128	16712	26928
129	16712	26929
130	16712	3617
131	16712	26930
132	16779	27035
133	17218	4299
134	17334	9912
135	17334	27898
136	17386	5457
137	17407	27997
138	17407	27998
139	17795	28581
140	17845	28633
141	17845	28634
142	17845	28635
143	17967	28845
144	18351	29373
145	18351	29374
146	18378	8814
147	18657	29764
148	18657	29765
149	18657	29766
150	18657	29767
151	18657	19048
152	18657	29768
153	18721	29846
154	18740	29866
155	18740	29867
156	18740	16007
157	18814	29953
158	18814	29954
159	18827	29973
160	18939	9677
161	18939	30128
162	19198	30459
163	19198	30460
164	19198	16462
165	19561	31069
166	19561	31150
167	19561	31151
168	19561	23743
169	19659	31412
170	19659	31413
171	19659	31414
172	19699	31502
173	19699	31503
174	19699	31504
175	19699	31505
176	19699	31506
177	19804	31779
178	19804	31780
179	19804	31781
180	19804	31782
181	19804	4989
182	19816	15965
183	19998	32275
184	19998	32276
185	19998	32277
186	19998	32278
187	20347	33196
188	20347	33197
189	20347	33198
190	20347	33199
191	20474	33527
192	20474	33528
193	20474	33529
194	20502	33596
195	20502	33597
196	20856	17976
197	21006	34821
198	21006	34822
199	21006	34823
200	21273	35409
201	21273	35410
202	21273	35411
203	21273	17656
204	21273	35412
205	21362	35557
206	21362	35558
207	21362	35559
208	21362	35560
209	21362	35561
210	21431	35701
211	21431	35702
212	21431	35703
213	21431	35704
214	21431	35705
215	21741	36451
216	21741	36452
217	21751	36474
218	21751	36475
219	21751	36476
220	21820	36652
221	21826	35284
222	21826	35282
223	21826	36666
224	21931	36951
225	21941	14104
226	21941	36973
227	21941	36974
228	21941	36975
229	21943	36978
230	21943	36979
231	21998	37099
232	21998	37100
233	22047	37224
234	22065	37269
235	22065	37270
236	22378	38068
237	22378	38069
238	22378	38070
239	22391	38096
240	22391	38097
241	22391	38098
242	22391	38099
243	22391	38100
244	22391	38101
245	22391	38102
246	22391	38103
247	22391	38104
248	22391	38105
249	22391	38106
250	22457	38290
251	22457	38291
252	22457	38292
253	22557	23288
254	22557	38553
255	22557	38554
256	22738	38978
257	22738	38979
258	22738	38980
259	22738	38981
260	23282	40018
261	23325	40074
262	23325	40075
263	23364	40148
264	23364	40149
265	23364	40150
266	23570	40445
267	23728	40712
268	23764	40757
269	23764	40708
270	23764	28272
271	23827	40864
272	23827	12082
273	23827	40865
274	23882	40955
275	23882	40956
276	24090	41300
277	24090	41301
278	24090	41302
279	24247	31936
280	24247	31937
281	24325	41609
282	24469	441
283	24469	442
284	24469	443
285	24517	14023
286	24517	41895
287	24529	41908
288	25083	23080
289	25083	42733
290	25083	23080
291	25238	42964
292	25238	42965
293	25238	42966
294	25320	41231
295	25320	43112
296	25320	43113
297	25340	43143
298	25614	43564
299	25614	43565
300	25614	43355
301	25614	22019
302	25614	43566
303	25614	43567
304	25614	43568
305	25699	43698
306	25699	43699
307	26100	44245
308	26100	44246
309	26100	30110
310	26100	30111
311	26100	16216
312	26251	44457
313	26251	44458
314	26251	44459
315	26370	30193
316	26508	19438
317	26508	44841
318	26508	44842
319	26520	44853
320	26520	44854
321	26909	45396
322	26954	45477
323	26988	45538
324	27020	8471
325	27020	8472
326	27020	8635
327	27020	4683
328	27049	45640
329	27049	45641
330	27049	45642
331	27077	45682
332	27082	45692
333	27082	45693
334	27082	45694
335	27082	45695
336	27264	30776
337	27264	28648
338	27508	46334
339	27511	46337
340	27529	33746
341	27720	46613
342	27720	14836
343	27720	46614
344	27720	5983
345	27794	46732
346	27794	46733
347	27794	46734
348	27828	41388
349	27828	9722
350	27828	46803
351	27842	46821
352	27842	46822
353	28252	47552
354	28252	47553
355	28252	47554
356	28252	47555
357	28252	47556
358	28266	454
359	28442	47868
360	29049	48804
361	29049	48805
362	29433	6047
363	29457	49428
364	29852	50007
365	29926	5215
366	29985	50203
367	29985	46398
368	29985	14879
369	30413	50858
370	30413	50859
371	30877	51526
372	30877	51527
373	31157	28973
374	31157	51946
375	31262	14660
376	31616	52563
377	31616	52564
378	31616	52565
379	31616	52566
380	31776	28008
381	31829	52855
382	31829	52856
383	31903	52968
384	31903	52969
385	31903	52970
386	31903	49922
387	31965	53039
388	31965	53040
389	32027	53117
390	32027	53118
391	32258	50631
392	32258	53496
393	32684	54104
394	32684	19139
395	32684	19140
396	32690	29391
397	32690	54112
398	32690	29234
399	33037	16991
400	33037	54623
401	33037	54624
402	33037	40025
403	33245	54938
404	33245	11128
405	33422	55204
406	33422	55205
407	33422	55206
408	33565	55387
409	33565	55388
410	33583	55423
411	33703	55620
412	33703	6827
413	33738	55675
414	33738	55676
415	33760	55709
416	33760	55710
417	34421	17849
418	34421	11337
419	34421	11339
420	34493	22842
421	34733	57178
422	34733	57179
423	34733	29624
424	34822	57311
425	35067	9783
426	35067	8369
427	35089	57679
428	35089	30505
429	35110	57704
430	35110	57705
431	35158	36247
432	35158	57765
433	35418	58139
434	35501	54596
435	35501	58236
436	35506	30573
437	35506	53188
438	35506	58244
439	35506	58245
440	35509	58251
441	35768	52636
442	35768	58634
443	35768	26968
444	35768	58635
445	35809	14528
446	35864	58762
447	35864	58763
448	35866	58767
449	35866	58768
450	35866	46393
451	36530	59663
452	36530	20435
453	36904	45456
454	36904	33684
455	36956	60268
456	36956	11293
457	36956	11296
458	37011	60343
459	37011	60344
460	37016	60352
461	37016	60353
462	37099	51544
463	37099	60486
464	37276	26206
465	37276	26207
466	37276	26208
467	37276	60720
468	37364	60841
469	37405	19509
470	37762	61363
471	37763	9355
472	37763	9351
473	37866	19437
474	37866	19436
475	37874	61503
476	37874	61504
477	37874	61505
478	37959	44814
479	37959	3869
480	38216	61953
481	38408	62230
482	38408	62231
483	38408	62232
484	38573	62469
485	38573	62470
486	38633	62543
487	38633	54249
488	38635	61424
489	38635	61425
490	38663	43848
491	38663	62574
492	38663	62575
493	38663	62576
494	38663	62577
495	38663	62578
496	38663	62579
497	38663	62580
498	38700	9907
499	38700	9908
500	38700	9909
501	38700	9910
502	38817	59585
503	39011	7322
504	39011	63123
505	39061	63213
506	39061	63214
507	39061	63215
508	39075	10683
509	39094	60807
510	39094	63256
511	39094	15518
512	39369	63618
513	39668	64044
514	39668	64045
515	39766	64200
516	39766	64201
517	39987	64483
518	39987	64484
519	39987	64485
520	39987	20450
521	40159	26250
522	40159	64739
523	40159	64740
524	40159	64741
525	40234	64832
526	40502	65197
527	40502	65198
528	40617	65360
529	40617	65361
530	40617	65362
531	40650	59769
532	40895	65736
533	40902	65750
534	40902	65751
535	40902	65752
536	40914	65766
537	40914	57954
538	41158	66079
539	41158	15846
540	41158	15847
541	41158	66080
542	41328	66282
543	41345	8692
544	41410	66385
545	41410	46174
546	41414	66389
547	41414	66390
548	41790	66840
549	41825	66885
550	41825	66886
551	41865	66940
552	41865	66941
553	41865	66942
554	41924	67005
555	42047	47247
556	42047	67178
557	42047	61367
558	42047	67179
559	42047	67180
560	42096	67244
561	42169	40982
562	42318	67528
563	42375	42978
564	42487	67701
565	42487	67702
566	42524	67739
567	42524	67740
568	42524	67741
569	42524	67742
570	42593	21820
571	42593	67821
572	42725	3757
573	42839	68136
574	42839	68137
575	42974	68347
576	42974	68348
577	42974	68349
578	42974	68350
579	43046	68459
580	43046	68460
581	43046	68461
582	43046	27885
583	43275	68765
584	43275	68766
585	43325	68843
586	43325	44224
587	43325	68844
588	43325	68845
589	43400	68939
590	43400	68940
591	43400	68941
592	43400	68942
593	43400	68943
594	43400	68944
595	43400	68945
596	43400	68946
597	43447	50986
598	43447	69018
599	43728	69415
600	43728	67486
601	43728	69416
602	43962	17976
603	43991	69741
604	43991	69742
605	44126	69914
606	44298	40105
607	44298	40106
608	44298	33206
609	44298	70151
610	44298	33208
611	44298	19189
612	44461	70352
613	44461	70353
614	44674	54122
615	44674	29583
616	45014	71118
617	45014	67915
618	45078	71202
619	45078	71203
620	45078	62406
621	45422	71654
622	45422	71655
623	45561	71856
624	45561	71857
625	45561	71858
626	45709	72107
627	45809	72238
628	45943	72420
629	45943	72421
630	46002	43301
631	46002	7944
632	46221	72765
633	46313	72894
634	46313	27297
635	46313	72895
636	46313	21789
637	46313	72896
638	46315	10134
639	46315	18976
640	46316	72897
641	46356	50322
642	46443	73041
643	46443	73042
644	46494	48417
645	46502	6054
646	46502	53366
647	46704	12095
648	46704	18620
649	46704	73390
650	46704	18623
651	46957	73748
652	47009	73810
653	47009	73811
654	47009	73812
655	47200	27297
656	47200	16225
657	47200	7652
658	47200	42285
659	47200	20609
660	47288	9389
661	47288	73998
662	47297	74213
663	47297	74214
664	47297	6008
665	47341	74268
666	47341	25710
667	47386	74324
668	47386	74325
669	47386	74326
670	47530	74563
671	47530	74564
672	47641	74720
673	47659	10060
674	47659	74741
675	47704	74814
676	47715	16536
677	47731	74837
678	48377	75772
679	48433	75851
680	48507	19304
681	48704	76157
682	48709	76161
683	48709	76162
684	48709	76163
685	48733	76189
686	48733	76190
687	48733	76191
688	48851	3812
689	49145	76672
690	49145	12068
691	49145	76673
692	49429	77045
693	49429	43699
694	49429	77046
695	49608	77253
696	49608	43663
697	49608	12071
698	49802	61261
699	49802	454
700	49805	77495
701	50225	77986
702	50225	77987
703	50225	13580
704	50493	78379
705	50493	30505
706	50493	26952
707	50651	78611
708	50651	78612
709	50651	9140
710	50737	41234
711	50799	55623
712	50799	55624
713	50799	8788
714	50799	78825
715	50799	78826
716	50877	78921
717	50877	78922
718	50979	79065
719	50979	79066
720	50989	79079
721	51156	79295
722	51156	79296
723	51213	79366
724	51213	79367
725	51213	79368
726	51641	79908
727	51641	79909
728	51641	79910
729	51641	79911
730	51751	80037
731	51751	80038
732	51751	80039
733	51804	80097
734	51804	80098
735	51804	80099
736	51804	80100
737	51804	80101
738	51928	10011
739	51928	20665
740	51928	3438
741	52100	47762
742	52100	80466
743	52100	80467
744	52100	14616
745	52138	80523
746	52138	80524
747	52242	59790
748	52359	80812
749	52804	9715
750	52937	81551
751	52937	43914
752	53306	82008
753	53528	26210
754	53535	82257
755	53535	67629
756	53535	82258
757	53600	29446
758	53880	82650
759	53880	82651
760	53880	82652
761	54634	83506
762	54634	83507
763	54634	83508
764	54634	83509
765	54634	83510
766	54634	83511
767	54680	83562
768	54680	83563
769	54680	83564
770	54707	83596
771	54707	83597
772	54707	83598
773	54746	83652
774	54746	69769
775	54746	69768
776	54881	83866
777	54881	83867
778	54974	83956
779	54974	83957
780	54974	71085
781	54974	50306
782	54974	83958
783	55020	76035
784	55020	6975
785	55020	74370
786	55020	84008
787	55073	50518
788	55073	84092
789	55116	84141
790	55116	19238
791	55125	84148
792	55172	84196
793	55193	84233
794	55193	84234
795	55193	84235
796	55193	4683
797	55193	26655
798	55513	84609
799	55513	84610
800	55513	84611
801	55513	84612
802	55513	84613
803	55594	84714
804	55594	12138
805	55594	36102
806	55972	85190
807	55972	85191
808	55981	85208
809	55981	85209
810	56189	22429
811	56196	85494
812	56253	85609
813	56253	85610
814	56552	85971
815	56552	47748
816	56552	85972
817	56552	85973
818	56552	32824
819	56602	57400
820	56602	86040
821	56602	86041
822	56602	86042
823	56602	27132
824	56602	7886
825	56618	86074
826	56618	86075
827	56732	86231
828	56732	21458
829	56740	86243
830	56740	86244
831	56985	86571
832	57252	86938
833	57252	86939
834	57646	87476
835	57646	87477
836	57646	87478
837	57646	87479
838	57646	87480
839	57813	87697
840	58000	79348
841	58441	75380
842	58441	88586
843	58441	88587
844	58531	88739
845	58531	76326
846	58576	88804
847	58877	89194
848	58877	34218
849	58877	89195
850	58885	89200
851	58885	89201
852	58894	89211
853	58894	89212
854	58894	89213
855	58949	89286
856	58949	89287
857	58949	89288
858	59104	46804
859	59104	39719
860	59104	24587
861	59294	46719
862	59294	89709
863	59406	22981
864	59406	89853
865	59406	51680
866	59727	90308
867	59809	90407
868	59809	3886
869	60149	30373
870	60165	40963
871	60165	90891
872	60205	90945
873	60205	90946
874	60265	91026
875	60296	91069
876	60296	91070
877	60337	91131
878	60337	74641
879	60337	91132
880	60337	91133
881	60499	91320
882	60563	3149
883	60601	9029
884	60601	91446
885	60829	91726
886	60863	29418
887	60863	74466
888	60863	42549
889	60980	70939
890	60980	48611
891	60980	91959
892	61110	92096
893	61110	92097
894	61743	65305
895	61898	93092
896	61898	93093
897	62076	22478
898	62076	93340
899	62076	93341
900	62076	20958
901	62106	5804
902	62185	93498
903	62185	30201
904	62185	85445
905	62185	93499
906	62185	93500
907	62354	93776
908	62354	93777
909	62354	20982
910	62354	25541
911	62384	30478
912	62384	93821
913	62384	93822
914	62384	93823
915	62384	5499
916	62632	94115
917	63506	95386
918	63530	95445
919	63530	95446
920	63602	95606
921	63602	95607
922	63602	95608
923	63602	95609
924	63624	95654
925	63624	95655
926	63624	95656
927	63624	24899
928	63843	96098
929	63875	47529
930	63877	96163
931	63877	96164
932	63877	96165
933	63925	96267
934	63925	96268
935	64019	96449
936	64019	96450
937	64019	96451
938	64305	97057
939	64305	97058
940	64393	97219
941	64393	97220
942	64393	38642
943	64393	84041
944	64486	97434
945	64491	97450
946	64491	80454
947	64624	97749
948	64624	97750
949	64624	97751
950	64624	97752
951	64631	97759
952	64631	97760
953	64780	98090
954	64780	98091
955	64780	98092
956	64780	98093
957	64780	98094
958	64857	98267
959	64857	98268
960	64857	98269
961	64921	98419
962	64921	98420
963	64921	98421
964	64921	98422
965	64921	98423
966	64921	98424
967	64983	98540
968	64983	18198
969	65109	98821
970	65109	98822
971	65165	98946
972	65165	98947
973	65165	36728
974	65246	99125
975	65246	99126
976	65246	99127
977	65282	99206
978	65292	99234
979	65292	99235
980	65292	99236
981	65313	99276
982	65384	99470
983	65384	99471
984	65640	100015
985	65640	100016
986	65753	49930
987	65753	100266
988	65827	100433
989	65827	100434
990	65827	100435
991	65945	100721
992	65945	100722
993	65945	100723
994	65953	100740
995	65953	100741
996	65985	100806
997	66026	100888
998	66026	100889
999	66026	100890
1000	66026	100891
1001	66226	101330
1002	66444	101792
1003	66444	101793
1004	66451	101808
1005	66451	101809
1006	66451	101810
1007	66451	101811
1008	66451	101812
1009	66451	101813
1010	66480	87892
1011	66480	1981
1012	66507	101961
1013	66507	101962
1014	66507	59704
1015	66507	101963
1016	66507	101964
1017	66507	90610
1018	66507	101965
1019	66507	101966
1020	66518	22985
1021	66518	22986
1022	66639	102248
1023	66639	68668
1024	66644	87421
1025	66645	102258
1026	66645	102259
1027	66645	11359
1028	66714	102396
1029	66714	102397
1030	66714	102398
1031	66762	102487
1032	66762	102488
1033	66762	102489
1034	66905	102774
1035	67083	103140
1036	67083	45186
1037	67083	103141
1038	67488	104014
1039	67488	2977
1040	67583	45941
1041	67583	28753
1042	67583	104198
1043	67583	45952
1044	67713	89792
1045	67713	104484
1046	67713	104485
1047	67772	12356
1048	67829	104747
1049	67829	104748
1050	67831	104751
1051	67831	104752
1052	67831	104753
1053	67954	105014
1054	67954	105015
1055	67989	105086
1056	67989	34169
1057	68057	105231
1058	68057	39522
1059	68057	105232
1060	68108	105351
1061	68187	105496
1062	68187	105497
1063	68187	105498
1064	68266	105635
1065	68266	105636
1066	68266	105637
1067	68266	105638
1068	68266	105639
1069	68266	105640
1070	68266	105641
1071	68543	106224
1072	68543	106225
1073	68642	106441
1074	68642	106442
1075	68642	106443
1076	68721	106606
1077	68721	106607
1078	68721	106608
1079	68788	106746
1080	68788	106747
1081	68913	106994
1082	68913	106995
1083	68913	106996
1084	68913	106997
1085	68913	106998
1086	68913	56437
1087	69056	42404
1088	69230	48479
1089	69230	48481
1090	69230	107648
1091	69276	51743
1092	69284	107759
1093	69286	107761
1094	69286	107762
1095	69286	107763
1096	69383	107977
1097	69401	108015
1098	69401	108016
1099	69401	108017
1100	69539	104525
1101	69539	104526
1102	69672	108538
1103	69672	95741
1104	69672	108539
1105	69672	108540
1106	69700	108601
1107	69812	108825
1108	69931	99969
1109	70114	109469
1110	70114	109470
1111	70114	109471
1112	70143	109540
1113	70143	109541
1114	70224	109700
1115	70304	35332
1116	70304	35333
1117	70447	110211
1118	70447	110212
1119	70528	110353
1120	70528	110354
1121	70528	110355
1122	70666	39610
1123	70847	108263
1124	70847	111114
1125	70900	111218
